1 PRIMARY SURVEY_Primary_ID,Meadow Code,Species Info_ID,1a Primary Survey Species Info_Primary_ID,Species Code,Life Stage,Cap_Recap,Species Notes
281,BB,9957,281,BUCA,M,N,
282,BB,10026,282,BUCA,M,R,
281,BB,9945,281,BUCA,M,N,
281,BB,9946,281,BUCA,M,N,
281,BB,9947,281,BUCA,M,N,
281,BB,9948,281,BUCA,M,N,
281,BB,9949,281,BUCA,M,N,
281,BB,9950,281,BUCA,M,N,
281,BB,9951,281,BUCA,M,N,
281,BB,9952,281,BUCA,M,N,
281,BB,9953,281,BUCA,M,N,
281,BB,9954,281,BUCA,M,N,
281,BB,9943,281,BUCA,M,N,
281,BB,9956,281,BUCA,M,N,
281,BB,9942,281,BUCA,M,N,
281,BB,9958,281,BUCA,M,N,
281,BB,9959,281,BUCA,M,N,
281,BB,9960,281,BUCA,M,N,
281,BB,9961,281,BUCA,M,N,
281,BB,9962,281,BUCA,M,N,
281,BB,9963,281,BUCA,M,N,
281,BB,9964,281,BUCA,M,N,
281,BB,9965,281,BUCA,M,N,
281,BB,9966,281,BUCA,M,N,
281,BB,9967,281,BUCA,M,N,
281,BB,9969,281,BUCA,M,N,
281,BB,9955,281,BUCA,M,N,
281,BB,9930,281,BUCA,M,N,
123,BB,2186,123,BUCA,M,N,Time field blank on datasheet (note: KEV)
123,BB,2187,123,BUCA,M,N,Time field blank on datasheet (note: KEV)
123,BB,2188,123,BUCA,M,N,Time field blank on datasheet (note: KEV)
123,BB,2189,123,BUCA,M,N,Time field blank on datasheet (note: KEV)
123,BB,2190,123,BUCA,M,N,Time field blank on datasheet (note: KEV)
123,BB,2191,123,BUCA,M,N,Time field blank on datasheet (note: KEV)
123,BB,2192,123,BUCA,M,N,Time field blank on datasheet (note: KEV)
123,BB,2193,123,BUCA,M,N,Time field blank on datasheet (note: KEV)
123,BB,2194,123,BUCA,M,N,Time field blank on datasheet (note: KEV)
281,BB,9926,281,BUCA,M,N,
281,BB,9927,281,BUCA,M,N,
281,BB,9944,281,BUCA,M,N,
281,BB,9929,281,BUCA,M,N,
281,BB,9973,281,BUCA,M,N,
281,BB,9931,281,BUCA,M,N,
281,BB,9932,281,BUCA,M,N,
281,BB,9933,281,BUCA,M,N,
281,BB,9934,281,BUCA,M,N,
281,BB,9935,281,BUCA,M,N,
281,BB,9936,281,BUCA,M,N,
281,BB,9937,281,BUCA,M,N,
281,BB,9938,281,BUCA,M,N,
281,BB,9939,281,BUCA,M,N,
281,BB,9940,281,BUCA,M,N,
281,BB,9941,281,BUCA,M,N,
281,BB,9928,281,BUCA,J,N,
282,BB,10014,282,BUCA,J,N,
281,BB,10001,281,BUCA,M,N,
281,BB,10002,281,BUCA,M,N,
281,BB,10003,281,BUCA,M,N,
281,BB,10004,281,BUCA,M,N,
281,BB,10005,281,BUCA,M,N,
281,BB,10006,281,BUCA,M,N,
282,BB,10007,282,BUCA,J,N,
282,BB,10008,282,BUCA,J,N,
282,BB,10009,282,BUCA,J,N,
282,BB,10010,282,BUCA,J,N,
282,BB,10011,282,BUCA,J,R,no blue mark visible
281,BB,9971,281,BUCA,M,N,
282,BB,10013,282,BUCA,AU,N,
281,BB,9998,281,BUCA,M,N,
282,BB,10015,282,BUCA,J,N,
282,BB,10016,282,BUCA,AU,R,no blue mark visible
282,BB,10017,282,BUCA,J,N,
282,BB,10018,282,BUCA,J,N,
282,BB,10019,282,BUCA,J,N,
282,BB,10020,282,BUCA,M,N,
282,BB,10021,282,BUCA,M,N,
282,BB,10022,282,BUCA,M,N,
282,BB,10023,282,BUCA,M,N,
282,BB,10024,282,BUCA,M,N,
282,BB,10025,282,BUCA,M,N,
282,BB,10012,282,BUCA,J,N,
281,BB,9986,281,BUCA,M,N,
123,BB,2183,123,BUCA,M,N,Time field blank on Datasheet (note: KEV)
281,BB,9974,281,BUCA,M,N,
281,BB,9975,281,BUCA,M,N,
281,BB,9976,281,BUCA,M,N,
281,BB,9977,281,BUCA,M,N,
281,BB,9978,281,BUCA,M,N,
281,BB,9979,281,BUCA,M,N,
281,BB,9980,281,BUCA,M,N,
281,BB,9981,281,BUCA,M,N,
281,BB,9982,281,BUCA,M,N,
281,BB,9983,281,BUCA,M,N,
281,BB,10000,281,BUCA,M,N,
281,BB,9985,281,BUCA,M,N,
281,BB,9999,281,BUCA,M,N,
281,BB,9987,281,BUCA,M,N,
281,BB,9988,281,BUCA,M,N,
281,BB,9989,281,BUCA,M,N,
281,BB,9990,281,BUCA,M,N,
281,BB,9991,281,BUCA,M,N,
281,BB,9992,281,BUCA,M,N,
281,BB,9993,281,BUCA,M,N,
281,BB,9994,281,BUCA,M,N,
281,BB,9995,281,BUCA,M,N,
281,BB,9996,281,BUCA,M,N,
281,BB,9997,281,BUCA,M,N,
281,BB,9972,281,BUCA,M,N,
281,BB,9984,281,BUCA,M,N,
155,BB,6455,155,BUCA,M,N,
325,BB,11508,325,BUCA,J,N,
325,BB,11509,325,BUCA,J,N,
325,BB,16596,325,BUCA,AM,N,
325,BB,16597,325,BUCA,AM,R,
325,BB,16598,325,BUCA,EM,-,
